Max Component Sizes,Compute Time (s),runScen3_1_rand,,Average Compute Size,Average Compute Time (s)
0.0382685,53,,,88.23,0.042295064
0.0395611,100,,,,
0.0422563,96,,,,
0.0414065,95,,,,
0.0620995,100,,,,
0.0400256,62,,,,
0.0416016,97,,,,
0.04023,100,,,,
0.0413082,100,,,,
0.0421551,94,,,,
0.0427155,87,,,,
0.0425463,83,,,,
0.0465608,100,,,,
0.0473726,88,,,,
0.0412552,90,,,,
0.0416377,86,,,,
0.0427318,86,,,,
0.0387654,72,,,,
0.040914,100,,,,
0.044363,100,,,,
0.042932,100,,,,
0.0430049,100,,,,
0.0411633,92,,,,
0.0422412,54,,,,
0.0487002,75,,,,
0.044127,96,,,,
0.0409692,89,,,,
0.0434751,81,,,,
0.0483007,100,,,,
0.0430846,100,,,,
0.0450382,100,,,,
0.0424343,100,,,,
0.0409391,59,,,,
0.0410469,92,,,,
0.0429052,38,,,,
0.0422514,40,,,,
0.0398131,60,,,,
0.0411091,100,,,,
0.0405444,50,,,,
0.0435683,100,,,,
0.0443751,100,,,,
0.0479647,83,,,,
0.0416796,100,,,,
0.0418506,91,,,,
0.0421792,100,,,,
0.0439627,97,,,,
0.0460587,81,,,,
0.0425793,100,,,,
0.0493059,100,,,,
0.0429707,100,,,,
0.0429064,90,,,,
0.0439327,100,,,,
0.0422791,92,,,,
0.0421521,100,,,,
0.0428142,89,,,,
0.039497,100,,,,
0.0391499,100,,,,
0.0393793,59,,,,
0.0436485,86,,,,
0.041103,78,,,,
0.0402371,95,,,,
0.0410728,100,,,,
0.0445052,58,,,,
0.0411367,100,,,,
0.0444042,100,,,,
0.0428571,100,,,,
0.0411807,96,,,,
0.0415983,35,,,,
0.0393975,50,,,,
0.0411547,100,,,,
0.0445458,95,,,,
0.0400842,100,,,,
0.0412355,60,,,,
0.040923,39,,,,
0.0426459,97,,,,
0.0428492,100,,,,
0.0406348,83,,,,
0.0428122,100,,,,
0.0434372,96,,,,
0.0479039,70,,,,
0.0425997,74,,,,
0.0427803,100,,,,
0.0434846,100,,,,
0.0451204,95,,,,
0.0414135,90,,,,
0.0419469,50,,,,
0.0446023,100,,,,
0.0408298,100,,,,
0.04138,63,,,,
0.0399291,84,,,,
0.0413772,100,,,,
0.0394297,100,,,,
0.0403728,86,,,,
0.0412544,100,,,,
0.0392611,76,,,,
0.0396531,31,,,,
0.042209,94,,,,
0.0406963,94,,,,
0.0400545,100,,,,
0.038712,100,,,,
0.0410506,72,,,,
0.0400524,95,,,,
0.042361,56,,,,
0.040349,100,,,,
0.0401428,96,,,,
0.0379489,82,,,,
0.0413601,100,,,,
0.0411984,77,,,,
0.038329,100,,,,
0.042275,96,,,,
0.0401752,100,,,,
0.0384501,91,,,,
0.0422465,67,,,,
0.0388986,93,,,,
0.0421556,97,,,,
0.0444164,100,,,,
0.0420989,96,,,,
0.0403195,95,,,,
0.0434551,100,,,,
0.0418756,100,,,,
0.0434013,100,,,,
0.0420454,100,,,,
0.0427696,97,,,,
0.0420103,75,,,,
0.042027,90,,,,
0.0537388,100,,,,
0.0501158,100,,,,
0.0422527,68,,,,
0.039434,92,,,,
0.036259,46,,,,
0.0409864,100,,,,
0.0406457,100,,,,
0.0430376,100,,,,
0.0427657,100,,,,
0.0398316,100,,,,
0.0443486,86,,,,
0.0423942,66,,,,
0.0435779,94,,,,
0.0408004,100,,,,
0.0452073,57,,,,
0.0420548,92,,,,
0.0426146,100,,,,
0.0425804,100,,,,
0.0442308,95,,,,
0.0522185,81,,,,
0.0432767,59,,,,
0.0418396,92,,,,
0.0441497,59,,,,
0.041015,92,,,,
0.0500265,100,,,,
0.0925047,100,,,,
0.0437351,93,,,,
0.0435286,100,,,,
0.0426694,97,,,,
0.0503295,100,,,,
0.0419821,97,,,,
0.0393011,100,,,,
0.0405107,100,,,,
0.0422813,94,,,,
0.0405729,100,,,,
0.0370629,96,,,,
0.0402304,92,,,,
0.0400548,61,,,,
0.0410735,85,,,,
0.042638,100,,,,
0.0397541,86,,,,
0.0385765,100,,,,
0.0395493,100,,,,
0.0396352,100,,,,
0.0397778,100,,,,
0.0399627,100,,,,
0.0403197,100,,,,
0.0398221,100,,,,
0.039082,100,,,,
0.0403648,100,,,,
0.0401503,100,,,,
0.0421542,82,,,,
0.0441974,100,,,,
0.0420601,100,,,,
0.0397103,100,,,,
0.0389978,100,,,,
0.041534,100,,,,
0.0421275,81,,,,
0.0392564,53,,,,
0.0387971,60,,,,
0.0413166,36,,,,
0.0419796,100,,,,
0.0394088,83,,,,
0.0391707,92,,,,
0.0406015,100,,,,
0.0392142,100,,,,
0.0402646,91,,,,
0.0408696,50,,,,
0.0387708,100,,,,
0.041663,100,,,,
0.043926,54,,,,
0.04073,100,,,,
0.0400813,100,,,,
0.0399184,37,,,,
0.0390446,100,,,,
