Compute Time (s),Max Component Size,runScen3Random,,Average Compute Time (s),Average Comp. Size
1.6784133,200,,,1.651374878,173.525
1.7281158,147,,,,
1.6617571,195,,,,
1.6549039,146,,,,
1.6635911,195,,,,
1.6630944,181,,,,
1.6398552,192,,,,
1.6393245,200,,,,
1.6444318,181,,,,
1.7300033,195,,,,
1.650193,171,,,,
1.6566332,85,,,,
1.6625612,200,,,,
1.6280901,200,,,,
1.6522439,163,,,,
1.6435869,161,,,,
1.6397872,200,,,,
1.6495284,195,,,,
1.6459436,118,,,,
1.6457819,200,,,,
1.6435366,200,,,,
1.6591829,195,,,,
1.6525384,195,,,,
1.6570728,187,,,,
1.6179025,200,,,,
1.6582891,170,,,,
1.6349859,200,,,,
1.6370453,107,,,,
1.6533317,195,,,,
1.6623563,195,,,,
1.6286831,191,,,,
1.6622486,195,,,,
1.6468809,200,,,,
1.6702062,187,,,,
1.6395331,195,,,,
1.6349328,200,,,,
1.637003,128,,,,
1.6588895,200,,,,
1.6509319,187,,,,
1.653131,200,,,,
1.6556924,83,,,,
1.6590504,186,,,,
1.6551872,195,,,,
1.7047199,152,,,,
1.6459081,150,,,,
1.6401092,200,,,,
1.6461691,96,,,,
1.640344,200,,,,
1.6528306,54,,,,
1.6467816,200,,,,
1.6430153,132,,,,
1.6399725,195,,,,
1.6483157,195,,,,
1.6585421,193,,,,
1.6514796,195,,,,
1.6435888,152,,,,
1.6503349,195,,,,
1.6534572,93,,,,
1.6401127,200,,,,
1.666485,200,,,,
1.6673847,185,,,,
1.6493379,114,,,,
1.6490823,195,,,,
1.6551976,200,,,,
1.6572399,195,,,,
1.6395213,195,,,,
1.6434348,181,,,,
1.650504,175,,,,
1.6339009,192,,,,
1.6364906,109,,,,
1.6626724,195,,,,
1.6368043,200,,,,
1.6362177,153,,,,
1.6578993,200,,,,
1.6462154,191,,,,
1.6428047,129,,,,
1.6577022,200,,,,
1.6407374,200,,,,
1.6609855,189,,,,
1.6626337,76,,,,
1.6464769,158,,,,
1.6504218,195,,,,
1.6475543,147,,,,
1.65178,173,,,,
1.6513062,195,,,,
1.6491007,200,,,,
1.6745428,195,,,,
1.7124943,195,,,,
1.6392748,200,,,,
1.6628405,195,,,,
1.6609952,134,,,,
1.6476788,200,,,,
1.6399609,190,,,,
1.6468343,132,,,,
1.6984057,195,,,,
1.6314608,200,,,,
1.6583442,139,,,,
1.6258736,186,,,,
1.6519703,122,,,,
1.6387891,191,,,,
1.6649415,195,,,,
1.7049589,141,,,,
1.6372319,195,,,,
1.6579821,195,,,,
1.6502338,112,,,,
1.6544409,161,,,,
1.666238,195,,,,
1.6364384,200,,,,
1.6472807,119,,,,
1.6479146,195,,,,
1.6322984,86,,,,
1.6444912,138,,,,
1.6511839,200,,,,
1.6559122,184,,,,
1.6505776,200,,,,
1.6528615,200,,,,
1.6425987,200,,,,
1.641932,193,,,,
1.6569883,187,,,,
1.6645959,137,,,,
1.6520212,189,,,,
1.6478818,187,,,,
1.627759,200,,,,
1.6509072,119,,,,
1.6468884,195,,,,
1.6491535,200,,,,
1.6497971,139,,,,
1.6601523,195,,,,
1.6629508,195,,,,
1.6520701,195,,,,
1.6422817,195,,,,
1.6553306,195,,,,
1.6465919,200,,,,
1.6762074,200,,,,
1.65286,200,,,,
1.6966943,140,,,,
1.6544447,86,,,,
1.6655684,195,,,,
1.6397877,195,,,,
1.6524104,190,,,,
1.6637175,171,,,,
1.7154979,186,,,,
1.6536292,195,,,,
1.6431606,195,,,,
1.6473079,133,,,,
1.6409309,195,,,,
1.6414891,131,,,,
1.6570351,195,,,,
1.6548292,195,,,,
1.6463089,195,,,,
1.6503698,182,,,,
1.6525751,197,,,,
1.6476125,118,,,,
1.6459034,171,,,,
1.6524994,176,,,,
1.652,150,,,,
1.6383503,141,,,,
1.6667521,195,,,,
1.6474929,161,,,,
1.6409132,200,,,,
1.6584364,168,,,,
1.625862,200,,,,
1.6609575,105,,,,
1.6440302,200,,,,
1.6384486,200,,,,
1.652703,89,,,,
1.6469137,200,,,,
1.6416762,116,,,,
1.6579742,195,,,,
1.6400689,200,,,,
1.6165803,200,,,,
1.6572572,134,,,,
1.6516719,156,,,,
1.644121,98,,,,
1.629613,181,,,,
1.6645157,200,,,,
1.6523218,195,,,,
1.6517116,109,,,,
1.6294092,200,,,,
1.6787722,84,,,,
1.6531416,138,,,,
1.6469271,195,,,,
1.6387477,200,,,,
1.6382774,194,,,,
1.6379382,162,,,,
1.6313851,200,,,,
1.6396599,99,,,,
1.6483105,146,,,,
1.655838,170,,,,
1.6600981,170,,,,
1.6364107,187,,,,
1.6533006,138,,,,
1.6401941,187,,,,
1.644908,153,,,,
1.6490235,170,,,,
1.6398056,195,,,,
1.6429881,182,,,,
1.622815,135,,,,
1.6386939,195,,,,
1.6607443,200,,,,
