Compute Time (s),Max Component Size,runScen2_2Random,,Average Compute Size,Average Compute Time (s)
0.0164851,400,,,394.53,0.016562896
0.0177327,400,,,,
0.0164263,400,,,,
0.018783,400,,,,
0.0175352,400,,,,
0.0173252,400,,,,
0.0159845,400,,,,
0.0162433,400,,,,
0.0391028,400,,,,
0.0163989,400,,,,
0.0166728,400,,,,
0.0154897,265,,,,
0.0168535,400,,,,
0.0165631,400,,,,
0.0165464,400,,,,
0.0164408,400,,,,
0.0162615,400,,,,
0.0151342,233,,,,
0.0163907,400,,,,
0.016891,400,,,,
0.0162375,400,,,,
0.0161875,400,,,,
0.0163272,400,,,,
0.0148996,206,,,,
0.016287,400,,,,
0.0159517,400,,,,
0.0168601,400,,,,
0.0160108,400,,,,
0.0163229,400,,,,
0.0149662,224,,,,
0.0167294,400,,,,
0.0164914,400,,,,
0.016365,400,,,,
0.0161914,400,,,,
0.0158945,400,,,,
0.0163567,400,,,,
0.0159792,400,,,,
0.0162772,400,,,,
0.0161973,400,,,,
0.0164406,400,,,,
0.0160932,400,,,,
0.0166423,400,,,,
0.0161858,400,,,,
0.0164662,400,,,,
0.0163473,400,,,,
0.0164927,400,,,,
0.0152066,400,,,,
0.0162882,400,,,,
0.0163189,400,,,,
0.0164119,400,,,,
0.0163955,400,,,,
0.0161766,400,,,,
0.0166339,400,,,,
0.0162069,400,,,,
0.0167053,400,,,,
0.0165665,400,,,,
0.0160991,400,,,,
0.0162993,400,,,,
0.0163728,400,,,,
0.0166763,400,,,,
0.0163699,400,,,,
0.0163896,400,,,,
0.0162627,400,,,,
0.0160674,400,,,,
0.0165308,400,,,,
0.0166373,400,,,,
0.016372,400,,,,
0.0157273,400,,,,
0.0165444,400,,,,
0.0165176,400,,,,
0.0167105,400,,,,
0.0164065,400,,,,
0.0164301,400,,,,
0.0164931,400,,,,
0.0166648,400,,,,
0.0163809,400,,,,
0.0157992,400,,,,
0.0160145,400,,,,
0.0165037,400,,,,
0.0160691,400,,,,
0.0161798,400,,,,
0.0166233,400,,,,
0.0161738,400,,,,
0.0163334,400,,,,
0.0164213,400,,,,
0.016249,400,,,,
0.0163978,400,,,,
0.0166866,400,,,,
0.0163873,400,,,,
0.0160846,400,,,,
0.0159014,400,,,,
0.016325,400,,,,
0.0166037,400,,,,
0.0162519,400,,,,
0.0163849,400,,,,
0.0161463,400,,,,
0.0164575,400,,,,
0.0161754,400,,,,
0.0162269,400,,,,
0.0163482,400,,,,
0.0163772,400,,,,
0.0162143,400,,,,
0.0170982,400,,,,
0.0166963,400,,,,
0.0163647,400,,,,
0.0162765,400,,,,
0.0161908,400,,,,
0.0167958,400,,,,
0.0162903,400,,,,
0.0164377,400,,,,
0.0164163,400,,,,
0.0162367,400,,,,
0.0162651,400,,,,
0.0161995,400,,,,
0.0162334,400,,,,
0.0157041,400,,,,
0.0162482,400,,,,
0.0165174,400,,,,
0.016574,400,,,,
0.0164909,400,,,,
0.0162714,400,,,,
0.0162365,400,,,,
0.0161776,400,,,,
0.0161645,400,,,,
0.0160047,400,,,,
0.0164571,400,,,,
0.0161568,400,,,,
0.0162504,400,,,,
0.0165036,400,,,,
0.0162328,400,,,,
0.0164893,400,,,,
0.0162902,400,,,,
0.0161923,400,,,,
0.0162167,400,,,,
0.0161403,400,,,,
0.0163864,400,,,,
0.0162581,400,,,,
0.0162327,400,,,,
0.0164262,400,,,,
0.0162068,400,,,,
0.0163361,400,,,,
0.0163736,400,,,,
0.0160802,400,,,,
0.0169037,400,,,,
0.0167877,400,,,,
0.0155883,400,,,,
0.0163021,400,,,,
0.0164824,400,,,,
0.016388,400,,,,
0.0165601,400,,,,
0.0164738,400,,,,
0.015546,400,,,,
0.0160105,400,,,,
0.01612,400,,,,
0.0162684,400,,,,
0.039184,400,,,,
0.01659,400,,,,
0.0150137,223,,,,
0.0165984,400,,,,
0.0165709,400,,,,
0.0165705,400,,,,
0.0163884,400,,,,
0.0182129,400,,,,
0.0157461,354,,,,
0.0163626,400,,,,
0.0163215,400,,,,
0.0164796,400,,,,
0.0164499,400,,,,
0.0157428,400,,,,
0.0160088,400,,,,
0.0167616,400,,,,
0.0149034,201,,,,
0.0163235,400,,,,
0.0164721,400,,,,
0.016303,400,,,,
0.0162256,400,,,,
0.0164022,400,,,,
0.0163947,400,,,,
0.0165381,400,,,,
0.0163333,400,,,,
0.0163788,400,,,,
0.0165582,400,,,,
0.0163992,400,,,,
0.0162099,400,,,,
0.0163895,400,,,,
0.0162306,400,,,,
0.016437,400,,,,
0.0158153,400,,,,
0.0161354,400,,,,
0.0162547,400,,,,
0.0165739,400,,,,
0.016161,400,,,,
0.0163094,400,,,,
0.0162944,400,,,,
0.01644,400,,,,
0.0164452,400,,,,
0.0162443,400,,,,
0.0163869,400,,,,
0.016373,400,,,,
0.0164336,400,,,,
